gene	contig	start	end	strand	length	SNPs	No. insertions	No. deletions	No. clipped regions	total insertion length	total deletion length	clipped length	No. contig breaks	Percent id	Match length	Match length percent	Overlapping secondary gene hits
aad9	Z172	48632	49415	+	783	0	0	0	0	0	0	0	0	100.0	783	99.0	
ermA	Z172	49540	50224	-	684	0	0	0	0	0	0	0	0	100.0	684	100.0
merR	Z172	60376	60919	+	543	0	0	0	0	0	0	0	0	100.0	543	100.0
merT	Z172	62892	63279	+	387	0	0	0	0	0	0	0	0	100.0	387	100.0
merA	Z172	63336	64980	+	1644	0	0	0	0	0	0	0	0	100.0	1644	100.0
merB	Z172	65061	65712	+	651	0	0	0	0	0	0	0	0	100.0	651	100.0
tetK	Z172	67411	68792	+	1380	0	0	1	0	0	1	0	0	100.0	1380	100.0
mecA	Z172	75273	77280	-	2007	2	0	0	0	0	0	0	0	99.9003487793	2007	100.0
cadA	Z172	85679	87838	-	2181	144	0	0	1	0	0	22	0	92.3888124713	2159	98.9912883998
cadC	Z172	88086	88452	-	366	2	0	0	0	0	0	0	0	99.4535519126	366	100.0
yqil	Z172	402545	403061	+	516	7	0	0	0	0	0	0	0	98.6434108527	516	100.0
tetM	Z172	441731	443651	-	1920	0	0	0	0	0	0	0	0	100.0	1920	100.0
dfrG	Z172	453393	453891	-	498	0	0	0	0	0	0	0	0	100.0	498	100.0
pta	Z172	669257	669731	+	474	8	0	0	0	0	0	0	0	98.3122362869	474	100.0
tpi	Z172	872022	872424	+	402	6	0	0	0	0	0	0	0	98.5074626866	402	100.0
gmk	Z172	1279253	1279670	+	417	9	0	0	0	0	0	0	0	97.8417266187	417	100.0
glpF	Z172	1384731	1385196	+	465	3	0	0	0	0	0	0	0	99.3548387097	465	100.0
aroE	Z172	1719877	1720333	-	456	6	0	0	0	0	0	0	0	98.6842105263	456	100.0
ermA	Z172	1777821	1778505	+	684	0	0	0	0	0	0	0	0	100.0	684	100.0
aad9	Z172	1778630	1779413	-	783	0	0	0	0	0	0	0	0	100.0	783	100.0
aacA-aphD	Z172	2208964	2210404	-	1440	1	0	0	0	0	0	0	0	99.9305555556	1440	100.0
aacA	Z172	2210404	2210851	-	447	0	0	0	0	0	0	0	0	100.0	447	100.0
aphA3	Z172	2213644	2214430	-	786	0	0	0	0	0	0	0	0	100.0	786	100.0
sdrM	Z172	2397726	2399070	-	1344	8	0	0	0	0	0	0	0	99.4047619048	1344	100.0
blaZ	Z172	2824621	2825467	+	846	0	0	0	0	0	0	0	0	100.0	846	100.0
arcC	Z172	2890692	2891148	-	456	12	0	0	0	0	0	0	0	97.3684210526	456	100.0
cadD	Z172	2995712	2996342	+	630	12	1	1	0	1	1	0	0	98.0952380952	630	100.0
merB	Z172	3004266	3004917	-	651	0	0	0	0	0	0	0	0	100.0	651	100.0
merA	Z172	3004998	3006642	-	1644	0	0	0	0	0	0	0	0	100.0	1644	100.0
merT	Z172	3006699	3007086	-	387	0	0	0	0	0	0	0	0	100.0	387	100.0
merR	Z172	3009059	3009602	-	543	0	0	0	0	0	0	0	0	100.0	543	100.0
cadA	Z172	3010767	3012885	-	2181	137	0	0	1	0	0	63	0	90.8298945438	2118	97.1114167813
qacA	Z172	3016646	3018191	+	1545	1	0	0	0	0	0	0	0	99.9352750809	1545	100.0
