gene	contig	start	end	strand	length	SNPs	No. insertions	No. deletions	No. clipped regions	total insertion length	total deletion length	clipped length	No. contig breaks	Percent id	Match length	Match length percent	Overlapping secondary gene hits
pta	ERS164421.8490_7_84.1	82987	83461	+	474	8	0	0	0	0	0	0	0	98.3122362869	474	100.0	
tpi	ERS164421.8490_7_84.1	284702	285104	+	402	8	0	0	0	0	0	0	0	98.0099502488	402	100.0	
gmk	ERS164421.8490_7_84.1	630413	630830	+	417	9	0	0	0	0	0	0	0	97.8417266187	417	100.0	
glpF	ERS164421.8490_7_84.1	736434	736899	+	465	3	0	0	0	0	0	0	0	99.3548387097	465	100.0	
aroE	ERS164421.8490_7_84.1	1111352	1111808	-	456	5	0	0	0	0	0	0	0	98.9035087719	456	100.0	
yqil	ERS164421.8490_7_84.1	1401236	1401752	-	516	9	0	0	0	0	0	0	0	98.2558139535	516	100.0	
arcC	ERS164421.8490_7_84.1	1850408	1850864	+	456	6	0	0	0	0	0	0	0	98.6842105263	456	100.0	
sdrM	ERS164421.8490_7_84.2_part1	295093	296437	+	1344	10	0	0	0	0	0	0	0	99.255952381	1344	100.0	
blaZ	ERS164421.8490_7_84.8	6201	7047	-	846	14	0	0	0	0	0	0	0	98.3451536643	846	100.0	
cadD	ERS164421.8490_7_84.8	14284	14914	-	630	0	0	0	0	0	0	0	0	100.0	630	100.0	
